"Category","Service","Provider Namespace","Resource Type","Status","Region"
"AI + Machine Learning","Azure OpenAI","Microsoft.CognitiveServices","accounts","Not Available","Belgium Central"
"AI + Machine Learning","Azure Machine Learning","Microsoft.MachineLearningServices","workspaces","Not Available","Belgium Central"
"Analytics","Azure Power BI Embedded","Microsoft.PowerBIDedicated","capacities","Not Available","Belgium Central"
"Analytics","Azure Synapse Analytics","Microsoft.Synapse","workspaces","Not Available","Belgium Central"
"Analytics","Azure Databricks","Microsoft.Databricks","workspaces","Not Available","Belgium Central"
"Analytics","Purview","Microsoft.Purview","accounts","Not Available","Belgium Central"
"Compute","Azure Function (App Service)","Microsoft.Web","sites","Available","Belgium Central"
"Compute","Azure Kubernetes Services","Microsoft.ContainerService","managedClusters","Available","Belgium Central"
"Databases","Azure Cosmos DB","Microsoft.DocumentDB","databaseAccounts","Available","Belgium Central"
"Databases","Azure Data Factory","Microsoft.DataFactory","factories","Available","Belgium Central"
"Databases","Azure Cache for Redis","Microsoft.Cache","Redis","Available","Belgium Central"
"Databases","Azure Database for PostgreSQL","Microsoft.DBforPostgreSQL","flexibleServers","Available","Belgium Central"
"Databases","Azure DocumentDB (MongoDB compat)","Microsoft.DocumentDB","databaseAccounts","Available","Belgium Central"
"Integration","Azure Event Hub","Microsoft.EventHub","namespaces","Available","Belgium Central"
"Integration","Azure API Management","Microsoft.ApiManagement","service","Available","Belgium Central"
"Integration","Azure Event Grid","Microsoft.EventGrid","topics","Available","Belgium Central"
"Integration","Azure Logic App","Microsoft.Logic","workflows","Available","Belgium Central"
"Integration","Azure Service Bus","Microsoft.ServiceBus","namespaces","Available","Belgium Central"
"Management & Governance","Azure Log Analytics","Microsoft.OperationalInsights","workspaces","Not Available","Belgium Central"
"Management & Governance","Azure Application Insights","microsoft.insights","components","Not Available","Belgium Central"
"Management & Governance","Azure Automation","Microsoft.Automation","automationAccounts","Not Available","Belgium Central"
"Management & Governance","Azure Arc","Microsoft.HybridCompute","machines","Not Available","Belgium Central"
"Networking","Azure Application Gateway","Microsoft.Network","applicationGateways","Available","Belgium Central"
"Networking","Azure VNet Gateway","Microsoft.Network","virtualNetworkGateways","Available","Belgium Central"
"Networking","Azure Bastion","Microsoft.Network","bastionHosts","Available","Belgium Central"
"Networking","Azure Load Balancer","Microsoft.Network","loadBalancers","Available","Belgium Central"
"Networking","Azure Private DNS Zones","Microsoft.Network","privateDnsZones","Not Available","Belgium Central"
"Networking","Azure Private Link","Microsoft.Network","privateEndpoints","Available","Belgium Central"
"Networking","Azure Route Server","Microsoft.Network","virtualHubs","Available","Belgium Central"
"Security","Microsoft Defender","Microsoft.Security","pricings","Available (Global)","Belgium Central"
"Security","Azure Sentinel","Microsoft.SecurityInsights","alertRules","Not Available","Belgium Central"
"Security","Azure Dedicated HSM","Microsoft.HardwareSecurityModules","cloudHsmClusters","Not Available","Belgium Central"
"Storage","Azure Storage","Microsoft.Storage","storageAccounts","Available","Belgium Central"
